,1. open,2. high,3. low,4. close,5. volume
2024-03-27 18:30:00,65.4100,67.3900,65.4100,67.3900,2
2024-03-27 16:30:00,67.4000,67.4000,66.9500,66.9500,31464
2024-03-27 16:00:00,66.9400,68.1200,66.9400,67.1300,215071
2024-03-27 15:30:00,67.2200,67.2200,66.8400,66.9400,262227
2024-03-27 15:00:00,67.0200,67.4600,67.0100,67.2100,134448
2024-03-27 14:30:00,67.2800,67.4000,66.9500,67.0300,90026
2024-03-27 14:00:00,67.3550,67.4300,67.2600,67.2600,63976
2024-03-27 13:30:00,68.0200,68.0200,67.3100,67.3500,74439
2024-03-27 13:00:00,67.8000,68.0800,67.4000,68.0200,71964
2024-03-27 12:30:00,68.1400,68.3500,67.7000,67.8000,82839
2024-03-27 12:00:00,68.3300,68.7000,67.6000,68.1500,269228
2024-03-27 11:30:00,67.7900,68.3900,67.7600,68.3600,122194
2024-03-27 11:00:00,68.1250,68.1250,67.3950,67.7600,118113
2024-03-27 10:30:00,67.9450,68.2500,67.8850,68.0700,55303
2024-03-27 10:00:00,67.7900,68.0100,67.7000,67.9450,29993
2024-03-27 09:30:00,67.6000,68.0700,67.6000,67.9900,5243
2024-03-27 09:00:00,67.7800,67.7800,67.7800,67.7800,1
2024-03-27 07:00:00,67.7900,67.7900,67.7900,67.7900,10
2024-03-26 17:00:00,67.7900,67.7900,67.7900,67.7900,1867
2024-03-26 16:00:00,67.8000,67.8000,66.6300,66.6300,230541
2024-03-26 15:30:00,67.8900,68.0150,67.6900,67.8000,114864
2024-03-26 15:00:00,67.9350,68.0000,67.8450,67.8750,29887
2024-03-26 14:30:00,68.1700,68.1900,67.9450,67.9500,30523
2024-03-26 14:00:00,68.2200,68.3300,68.0900,68.1700,58422
2024-03-26 13:30:00,68.1670,68.2680,68.0900,68.2100,27412
2024-03-26 13:00:00,68.1390,68.2150,68.1000,68.1450,24784
2024-03-26 12:30:00,68.0700,68.1900,67.9900,68.1400,23768
2024-03-26 12:00:00,67.8650,68.3000,67.8600,68.1500,27044
2024-03-26 11:30:00,67.7400,67.8800,67.7300,67.8750,14280
2024-03-26 11:00:00,67.4900,67.7800,67.4200,67.7450,15272
2024-03-26 10:30:00,67.4600,67.5350,67.4500,67.4600,10250
2024-03-26 10:00:00,67.4050,67.5600,67.3800,67.4950,14926
2024-03-26 09:30:00,67.5600,67.8350,67.0850,67.4000,27231
2024-03-25 19:00:00,67.6400,67.6400,67.6400,67.6400,2
2024-03-25 16:30:00,67.0800,67.0800,67.0800,67.0800,1158
2024-03-25 16:00:00,67.0400,67.0800,67.0400,67.0800,196231
2024-03-25 15:30:00,67.3400,67.3600,66.9550,67.0400,141443
2024-03-25 15:00:00,67.2650,67.4300,67.2450,67.3200,36441
2024-03-25 14:30:00,67.2000,67.3300,67.1600,67.2600,26588
2024-03-25 14:00:00,67.0200,67.2900,67.0150,67.1750,35752
2024-03-25 13:30:00,67.4400,67.4400,67.0100,67.0300,30977
2024-03-25 13:00:00,67.4950,67.5900,67.4100,67.4400,19274
2024-03-25 12:30:00,67.6000,67.6200,67.4850,67.4850,27131
2024-03-25 12:00:00,67.6000,67.6700,67.5100,67.6150,18630
2024-03-25 11:30:00,67.5450,67.8100,67.4700,67.6400,25638
2024-03-25 11:00:00,67.5600,67.6000,67.3400,67.5500,75483
2024-03-25 10:30:00,67.4950,67.5600,67.2750,67.5250,19188
2024-03-25 10:00:00,67.5250,67.5500,67.4200,67.4950,15121
2024-03-25 09:30:00,67.4000,67.6700,67.1700,67.4800,17793
2024-03-25 09:00:00,67.2400,67.3100,67.2400,67.2400,279
2024-03-25 08:00:00,67.2400,67.2400,67.2400,67.2400,1
2024-03-22 18:00:00,68.6300,68.6300,68.6300,68.6300,20
2024-03-22 16:30:00,67.2400,67.2400,67.2400,67.2400,1875
2024-03-22 16:00:00,67.2600,67.2600,67.2400,67.2400,282649
2024-03-22 15:30:00,66.8900,67.2900,66.7500,67.2600,178968
2024-03-22 15:00:00,66.9300,67.0100,66.8150,66.8800,48399
2024-03-22 14:30:00,66.9000,66.9500,66.6600,66.9300,37741
2024-03-22 14:00:00,66.8700,67.0100,66.8700,66.9000,28629
2024-03-22 13:30:00,66.8300,66.9300,66.8100,66.9100,22841
2024-03-22 13:00:00,66.6600,66.9400,66.6500,66.8200,24885
2024-03-22 12:30:00,66.5350,66.6700,66.4900,66.6700,29440
2024-03-22 12:00:00,66.4800,66.5600,66.4400,66.5200,24719
2024-03-22 11:30:00,66.5200,66.6900,66.3900,66.4800,36525
2024-03-22 11:00:00,66.6550,66.7350,66.4900,66.5100,28262
2024-03-22 10:30:00,66.7900,66.9500,66.6400,66.6400,19871
2024-03-22 10:00:00,66.7000,67.0500,66.5400,66.8300,28248
2024-03-22 09:30:00,67.3200,67.3200,66.5450,66.7700,37398
2024-03-21 17:00:00,67.4000,67.4000,67.4000,67.4000,800
2024-03-21 16:30:00,67.4000,67.4000,67.4000,67.4000,25484
2024-03-21 16:00:00,67.3600,67.4000,66.7400,67.4000,289630
2024-03-21 15:30:00,67.3100,67.3900,67.0900,67.3900,207601
2024-03-21 15:00:00,67.5200,67.5200,67.2900,67.3100,40977
2024-03-21 14:30:00,67.6300,67.7400,67.5400,67.5600,37822
2024-03-21 14:00:00,67.6900,67.6900,67.4600,67.6100,38413
2024-03-21 13:30:00,67.5700,67.7150,67.5200,67.6900,34412
2024-03-21 13:00:00,67.4600,67.5700,67.4200,67.5700,34672
2024-03-21 12:30:00,67.5000,67.5300,67.3300,67.4700,48337
2024-03-21 12:00:00,67.5600,67.7600,67.5000,67.5250,46210
2024-03-21 11:30:00,67.5200,67.5700,67.2700,67.4300,155690
2024-03-21 11:00:00,67.6000,67.7500,67.3000,67.5600,65907
2024-03-21 10:30:00,67.5650,67.9100,67.5200,67.6300,78144
2024-03-21 10:00:00,67.6700,67.9200,67.5500,67.5700,36228
2024-03-21 09:30:00,68.1500,69.9300,67.3900,67.7300,62700
2024-03-21 08:00:00,68.0200,68.0200,68.0200,68.0200,2
2024-03-21 07:00:00,68.0000,68.0000,68.0000,68.0000,1
2024-03-20 16:30:00,68.0200,68.0200,68.0200,68.0200,29555
2024-03-20 16:00:00,67.9900,68.0200,67.0100,68.0200,139205
2024-03-20 15:30:00,68.4200,68.4500,67.9300,67.9900,177437
2024-03-20 15:00:00,68.4400,68.5500,68.2800,68.4400,39960
2024-03-20 14:30:00,68.2900,68.6250,68.1550,68.3600,30547
2024-03-20 14:00:00,68.1000,68.4900,68.0900,68.3500,26202
2024-03-20 13:30:00,68.1300,68.3700,67.9500,68.0000,31911
2024-03-20 13:00:00,68.3900,68.3900,68.0100,68.1350,18661
2024-03-20 12:30:00,68.6150,68.6150,68.2600,68.3500,15508
2024-03-20 12:00:00,68.6800,68.8800,68.6150,68.6150,13010
2024-03-20 11:30:00,68.7400,68.7400,68.4060,68.6900,24655
2024-03-20 11:00:00,68.7700,69.0300,68.7000,68.7450,186545
2024-03-20 10:30:00,68.9200,68.9800,68.6000,68.7600,27003
2024-03-20 10:00:00,68.7500,68.9900,68.4950,68.8500,24597
2024-03-20 09:30:00,68.5900,69.4000,68.1200,68.7300,39949
2024-03-19 18:30:00,69.6300,69.6300,69.6300,69.6300,10
2024-03-19 17:00:00,68.5700,68.5700,68.5700,68.5700,78100
2024-03-19 16:30:00,68.5700,68.5700,68.5700,68.5700,3
2024-03-19 16:00:00,68.6000,68.6000,68.5700,68.5700,816731
2024-03-19 15:30:00,68.5900,68.7400,68.3000,68.6000,238808
2024-03-19 15:00:00,68.4100,68.5950,68.4100,68.5900,42617
2024-03-19 14:30:00,68.3400,68.5000,68.3400,68.4150,21733
2024-03-19 14:00:00,68.4250,68.4250,68.2950,68.3550,19418
2024-03-19 13:30:00,68.3750,68.4300,68.2950,68.4100,22358
2024-03-19 13:00:00,68.5200,68.6200,68.3000,68.4050,15535
2024-03-19 12:30:00,68.4600,68.6600,68.4400,68.5200,45750
2024-03-19 12:00:00,68.2800,68.5400,68.2800,68.4450,39545
2024-03-19 11:30:00,68.3050,68.5300,68.1850,68.2800,20967
2024-03-19 11:00:00,68.1800,68.4100,68.1680,68.3050,33035
2024-03-19 10:30:00,67.7950,68.2650,67.7300,68.2000,26855
2024-03-19 10:00:00,67.5950,67.8800,67.5700,67.7990,59281
2024-03-19 09:30:00,67.7600,68.2800,67.4100,67.6050,44668
2024-03-19 09:00:00,67.0100,67.0100,67.0100,67.0100,100
2024-03-19 08:30:00,67.0000,67.0000,67.0000,67.0000,22
2024-03-19 08:00:00,67.7500,67.7500,67.7500,67.7500,1
2024-03-18 18:30:00,71.1400,71.1400,71.1300,71.1300,2
2024-03-18 16:00:00,67.7300,67.7500,67.0200,67.7500,587693
2024-03-18 15:30:00,67.9800,68.1500,67.7200,67.7300,195784
2024-03-18 15:00:00,68.2400,68.2800,67.9400,67.9800,27253
2024-03-18 14:30:00,68.1500,68.3550,68.1200,68.2300,21966
2024-03-18 14:00:00,68.4800,68.5200,68.2100,68.2150,97417
2024-03-18 13:30:00,68.6250,68.6250,68.3200,68.5000,191489
2024-03-18 13:00:00,68.5000,68.6550,68.4500,68.6100,16191
2024-03-18 12:30:00,68.6550,68.7100,68.5100,68.5200,10976
2024-03-18 12:00:00,68.9900,68.9900,68.6000,68.6500,24933
2024-03-18 11:30:00,68.7350,69.0400,68.5300,69.0000,39970
2024-03-18 11:00:00,69.0750,69.0750,68.6800,68.6930,60259
2024-03-18 10:30:00,69.1100,69.2400,68.9900,69.0750,16258
